CSIRT,Region,Zone,Numero de telephone,type_appel,Disponibilité,Site Web,Mail,RFC 2530
Urgence Cyber CSIRT Région sud,Provence Alpes Côtes d'Azur,,0 805 036 083,gratuit,9h00 - 12h30 14h00 - 17h30 du lundi au vendredi hors jours fériés,https://www.urgencecyber-regionsud.fr/formulaire-de-declaration-dincident,contact@urgencecyber-regionsud.fr,https://www.urgencecyber-regionsud.fr/wp-content/uploads/2023/10/20231002_TLP-CLEAR_UCRS_RFC2350-v1.2.pdf
CSIRT Hauts de France,Hauts de France,,0 806 700 111,gratuit,9h00 - 12h30 14h00 - 17h30 du lundi au vendredi hors jours fériés,https://csirt-hdf.fr,urgence-cyber@csirt-hdf.fr,http://csirt-hdf.fr/wp-content/uploads/2024/07/RFC2350-CSIRT-HdF-v1.5_FR.pdf
Normandie Cyber,Normandie,,0 808 80 0001,,8h – 17h du lundi au jeudi et 8h – 16h le vendredi  hors jours fériés,https://normandie-cyber.fr,contact@normandie-cyber.fr,https://adnormandie.fr/wp-content/uploads/2024/02/RFC2350-CSIRT-R-v1.2_FR.pdf
CRIC,Nouvelle Aquitaine,,0 805 29 29 40,gratuit,9h00 - 12h30 13h30 - 17h00 du lundi au vendredi hors jours fériés,https://www.campuscyber-na.fr/signaler-incident,cric-na@campuscyber-na.fr,https://www.campuscyber-na.fr/campus-api/uploads/RFC_2350_d4540f969c.pdf
Cyber'OCC,Occitanie,,0 800 71 13 13,gratuit,9h - 18 h du lundi au vendredi (hors jour férié),https://www.cyberocc.com/nos-services/urgence-cyber/,csirt@cyberocc.fr,https://www.cyberocc.com/wp-content/uploads/2024/10/RFC2350-CSIRT-CyberOcc.pdf
Pays de la Loire Cyber Assistance,Pays de la Loire,,0 800 100 200,gratuit,24h/24h 7j/7j,https://www.paysdelaloire.fr/economie-et-innovation/entreprise/mon-organisation-subit-une-cyberattaque,cyberassistance@paysdelaloire.fr,https://www.paysdelaloire.fr/sites/default/files/2023-10/CSIRT%20Pays%20de%20la%20Loire%20Cyber%20Assistance%20%E2%80%93%20RFC2350%20%281%29.pdf
CybeReponse,Centre Val de Loire,,0 805 691 505,gratuit,"08h30 – 12h30 14h00 – 17h30 du lundi au vendredi (hors jours fériés) ",https://www.recia.fr/cybersecurite/centre-de-reponse-aux-incidents-cyber-csirt/,,
Cyber Corsica,Corse,,04 20 97 00 97,,"08h30 – 12h30 14h00 – 17h30 du lundi au vendredi (hors jours fériés) ",https://cyber.corsica/formulaire-de-declaration-dincident/,contact@cyber.corsica,https://cyber.corsica/rfc2350/
Urgence Cyber Ile de France,Ile de France,,0 800 730 647,gratuit,9h - 18 h du lundi au vendredi (hors jour férié),https://urgencecyber.iledefrance.fr/form.html,urgencecyber@iledefrance.fr,https://urgencecyber.iledefrance.fr/files/rfc2350.pdf
Breizh Cyber,Bretagne,,0 800 200 008,gratuit,9h-18 h du lundi au vendredi (hors jour férié),https://breizhcyber.bzh/declarer-un-incident/,contact@breizhcyber.bzh,
CSIRT Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,,09 70 60 99 09,,9h - 18 h du lundi au vendredi (hors jour férié),https://www.csirt-bfc.fr/,cyber@arnia-bfc.fr,https://www.csirt-bfc.fr/rfc2350/ARNia-Cyber%20-%20RFC%202350%20V2.0.pdf
Grand Est Cybersécurité,Grand Est,,09 70 51 25 25,,9h00 - 12h30 et de 14h00 - 17h30  du lundi au vendredi (hors jours fériés),https://support.grandest-cyber.fr/marketplace/formcreator/front/formdisplay.php?id=1,contact@grandest-cyber.fr,https://www.cybersecurite.grandest.fr/wp-content/uploads/2023/08/Grand-Est-Cybersecurite-RFC2350.pdf
CSIRT Atlantic,"Antilles, Guyane","Guadeloupe, Guyane, Martinique,
Saint-Barthélémy, Saint-Martin,
Saint-Pierre-et-Miquelon",09 70 26 08 01,,"9h00 - 12h30 - 13h30 - 17h00 Lundi au vendredi (hors jours fériés) ",https://www.accyb.org/fr/FindOutAtlantic,csirt-atlantic@accyb.org,https://www.accyb.org/Documents/CSIRT-ATLANTIC.pdf
CSIRT La Réunion,La Réunion,,02 62 97 49 99,,9h - 12h - 13h - 17h Du lundi au vendredi,https://www.cyber-reunion.fr/csirt/,csirt@cyber-reunion.fr,https://www.cyber-reunion.fr/wp-content/uploads/CSIRT-LR_RFC2350_FR.pdf
CSIRT Te Rama,Polynésie Française,,+(686) 40 455 200,,9h - 17h du lundi au vendredi (astreinte pour les clients enregistrés),https://www.terama.pf/csirt,csirt@TERAMA.fr,https://github.com/csirt-terama/ressources/blob/main/RFC-2350-CSIRT-TERAMA-V1.0.pdf
